City,Longitude,Latitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
bolobo,16.23,-2.17,71.49,92.0,86.0,1.54,CD,1603171745.0
husavik,-17.34,66.04,28.4,92.0,84.0,3.36,IS,1603171478.0
constitucion,-72.42,-35.33,51.01,72.0,43.0,10.94,CL,1603171775.0
lebu,-73.65,-37.62,47.14,78.0,1.0,14.7,CL,1603171650.0
kodiak,-152.41,57.79,44.6,56.0,1.0,8.05,US,1603171437.0
shimoda,138.95,34.67,66.2,63.0,75.0,17.22,JP,1603171578.0
gotsu,132.22,35.0,69.8,49.0,20.0,9.17,JP,1603171775.0
martaban,97.61,16.53,78.1,81.0,100.0,7.25,MM,1603171776.0
dukat,155.55,62.55,17.56,96.0,100.0,5.01,RU,1603171776.0
hambantota,81.12,6.12,89.6,62.0,40.0,17.22,LK,1603171617.0
salta,-65.41,-24.79,73.4,43.0,82.0,5.82,AR,1603171776.0
watertown,-71.18,42.37,52.0,87.0,20.0,4.29,US,1603171777.0
ndele,20.65,8.41,70.86,78.0,53.0,1.34,CF,1603171777.0
talnakh,88.4,69.49,12.2,92.0,96.0,6.71,RU,1603171617.0
north battleford,-108.28,52.78,19.4,67.0,90.0,5.82,CA,1603171777.0
coracao de jesus,-44.37,-16.69,64.92,89.0,100.0,6.2,BR,1603171777.0
stochov,13.96,50.15,41.0,93.0,75.0,9.17,CZ,1603171777.0
pakxan,103.66,18.38,80.13,63.0,94.0,4.94,LA,1603171540.0
lucea,-78.17,18.45,77.0,94.0,40.0,2.24,JM,1603171610.0
saskylakh,114.08,71.92,22.86,97.0,89.0,3.74,RU,1603171644.0
slupca,17.87,52.29,36.0,92.0,55.0,5.35,PL,1603171777.0
beroroha,45.17,-21.67,83.21,47.0,0.0,5.23,MG,1603171778.0
marneuli,44.81,41.48,62.6,67.0,1.0,19.46,GE,1603171778.0
wanxian,108.39,30.8,61.77,79.0,100.0,1.45,CN,1603171742.0
rio gallegos,-69.22,-51.62,39.2,69.0,20.0,14.99,AR,1603171414.0
inuvik,-133.72,68.35,21.2,100.0,90.0,6.93,CA,1603171778.0
hasaki,140.83,35.73,71.01,60.0,40.0,16.11,JP,1603171586.0
east london,27.91,-33.02,62.6,67.0,75.0,18.34,ZA,1603171634.0
bethel,-73.41,41.37,53.01,93.0,1.0,3.69,US,1603171618.0
torbay,-52.73,47.67,48.99,87.0,20.0,11.41,CA,1603171689.0
compiegne,2.83,49.42,53.6,76.0,100.0,11.41,FR,1603171583.0
yar-sale,70.83,66.83,18.84,97.0,10.0,3.06,RU,1603171553.0
kavaratti,72.64,10.57,84.2,74.0,20.0,5.82,IN,1603171779.0
marzuq,46.47,14.4,70.74,22.0,0.0,5.39,YE,1603171480.0
luanda,13.23,-8.84,73.4,94.0,75.0,3.36,AO,1603171779.0
port hedland,118.57,-20.32,86.0,58.0,0.0,16.11,AU,1603171779.0
esperance,121.9,-33.87,69.8,77.0,90.0,9.17,AU,1603171652.0
khandbari,87.2,27.37,80.74,46.0,0.0,4.27,NP,1603171779.0
thompson,-97.86,55.74,26.6,68.0,90.0,5.82,CA,1603171682.0
barao de melgaco,-55.97,-16.19,84.2,54.0,100.0,8.05,BR,1603171606.0
shu,73.76,43.6,64.17,26.0,0.0,3.47,KZ,1603171779.0
codrington,141.97,-38.27,57.11,72.0,91.0,7.76,AU,1603171599.0
vostok,135.88,46.49,47.07,51.0,0.0,3.62,RU,1603171523.0
tual,132.75,-5.67,78.73,72.0,100.0,10.04,ID,1603171780.0
chicama,-79.15,-7.84,62.67,82.0,37.0,4.23,PE,1603171780.0
beyneu,55.2,45.32,59.2,46.0,15.0,9.15,KZ,1603171780.0
presidente olegario,-46.42,-18.42,64.99,100.0,100.0,3.85,BR,1603171780.0
avera,-82.53,33.19,60.8,77.0,1.0,3.36,US,1603171780.0
soltau,9.83,52.98,44.01,80.0,75.0,6.93,DE,1603171811.0
garmsar,52.34,35.22,73.69,17.0,0.0,2.75,IR,1603171811.0
akureyri,-18.09,65.68,28.4,92.0,80.0,3.36,IS,1603171811.0
acarau,-40.12,-2.89,79.97,74.0,32.0,19.91,BR,1603171812.0
atasu,71.64,48.68,51.44,34.0,0.0,6.08,KZ,1603171572.0
lagoa,-27.98,39.05,63.01,68.0,9.0,30.47,PT,1603171604.0
poronaysk,143.12,49.22,43.07,59.0,0.0,10.65,RU,1603171812.0
yellowknife,-114.35,62.46,26.6,79.0,90.0,5.82,CA,1603171624.0
anadyr,177.48,64.75,39.2,69.0,20.0,15.66,RU,1603171813.0
tyrma,132.17,50.08,43.57,58.0,42.0,3.96,RU,1603171813.0
dunkwa,-1.78,5.97,73.83,96.0,99.0,2.53,GH,1603171813.0
buchanan,-10.05,5.88,76.1,89.0,79.0,5.84,LR,1603171814.0
kirakira,161.92,-10.45,84.02,71.0,57.0,10.71,SB,1603171682.0
lubao,120.55,14.92,82.4,100.0,90.0,9.17,PH,1603171814.0
chifeng,118.96,42.27,66.99,23.0,100.0,20.42,CN,1603171814.0
byron bay,153.62,-28.65,71.6,56.0,90.0,13.87,AU,1603171576.0
guerrero negro,-114.06,27.98,71.4,78.0,2.0,10.94,MX,1603171603.0
jinsha,121.07,32.09,75.99,50.0,28.0,5.01,CN,1603171815.0
elizabeth city,-76.25,36.29,66.2,100.0,90.0,5.82,US,1603171542.0
faanui,-151.75,-16.48,79.52,77.0,38.0,18.63,PF,1603171663.0
hualmay,-77.61,-11.1,61.0,88.0,6.0,7.7,PE,1603171652.0
mahibadhoo,72.97,3.78,82.9,78.0,61.0,13.56,MV,1603171815.0
candolim,73.76,15.52,82.4,78.0,40.0,3.36,IN,1603171815.0
shelburne,-80.2,44.08,41.0,100.0,90.0,3.74,CA,1603171816.0
aconibe,10.94,1.3,67.96,98.0,100.0,3.0,GQ,1603171816.0
tuktoyaktuk,-133.04,69.45,21.2,85.0,90.0,12.75,CA,1603171440.0
nizhniy odes,54.86,63.64,33.17,93.0,97.0,7.11,RU,1603171817.0
santa marta,-74.2,11.24,77.0,88.0,100.0,3.0,CO,1603171805.0
taunggyi,97.03,20.78,72.66,70.0,35.0,6.13,MM,1603171817.0
korhogo,-5.63,9.45,71.73,93.0,59.0,5.64,CI,1603171818.0
la palma,-118.05,33.85,66.99,82.0,1.0,3.36,US,1603171818.0
morden,-98.1,49.19,17.6,67.0,1.0,3.85,CA,1603171694.0
sur,59.53,22.57,85.42,40.0,7.0,14.14,OM,1603171818.0
saint george,-113.58,37.1,68.0,15.0,1.0,1.99,US,1603171476.0
mount isa,139.5,-20.73,102.2,13.0,75.0,6.93,AU,1603171453.0
port-cartier,-66.87,50.03,41.0,100.0,90.0,5.82,CA,1603171619.0
abu samrah,37.18,35.3,72.07,38.0,91.0,6.91,SY,1603171672.0
fairbanks,-147.72,64.84,21.99,85.0,90.0,1.92,US,1603171638.0
burnie,145.92,-41.07,61.0,59.0,9.0,10.0,AU,1603171820.0
sisimiut,-53.67,66.94,38.35,75.0,100.0,17.0,GL,1603171526.0
salinopolis,-47.36,-0.61,79.45,84.0,15.0,11.72,BR,1603171636.0
tocopilla,-70.2,-22.09,60.26,63.0,23.0,5.1,CL,1603171601.0
puerto baquerizo moreno,-89.6,-0.9,69.64,85.0,79.0,11.12,EC,1603171821.0
ixtapa,-105.2,20.7,84.0,83.0,5.0,0.87,MX,1603171821.0
zhigansk,123.37,66.77,19.71,96.0,100.0,13.85,RU,1603171673.0
saint-pierre,55.48,-21.34,80.6,61.0,0.0,20.8,RE,1603171851.0
nanortalik,-45.24,60.14,35.49,89.0,100.0,4.32,GL,1603171629.0
mendoza,-68.83,-32.89,62.6,25.0,0.0,11.41,AR,1603171620.0
chingirlau,54.08,51.09,49.19,76.0,98.0,14.83,KZ,1603171852.0
taree,152.47,-31.9,71.6,56.0,40.0,14.99,AU,1603171852.0
great yarmouth,1.73,52.61,55.0,97.0,100.0,11.99,GB,1603171852.0
buala,159.59,-8.14,83.98,73.0,97.0,2.46,SB,1603171852.0
poum,164.02,-20.23,76.48,66.0,6.0,9.51,NC,1603171542.0
narsaq,-46.05,60.92,32.0,85.0,98.0,3.36,GL,1603171642.0
quartucciu,9.18,39.25,50.0,100.0,20.0,4.7,IT,1603171852.0
itoman,127.67,26.12,86.0,66.0,75.0,19.46,JP,1603171671.0
prieska,22.75,-29.66,64.74,26.0,0.0,9.24,ZA,1603171853.0
portland,-122.68,45.52,55.4,76.0,20.0,4.7,US,1603171620.0
morshansk,41.81,53.44,39.94,72.0,5.0,14.07,RU,1603171853.0
juneau,-134.42,58.3,37.99,86.0,90.0,10.29,US,1603171800.0
bijar,47.61,35.87,59.97,25.0,0.0,1.7,IR,1603171853.0
pitimbu,-34.81,-7.47,73.4,94.0,20.0,2.24,BR,1603171853.0
tecoanapa,-98.75,16.52,78.98,83.0,37.0,4.47,MX,1603171853.0
kavieng,150.8,-2.57,83.68,69.0,98.0,2.77,PG,1603171627.0
palmer,-72.33,42.16,53.01,93.0,90.0,3.36,US,1603171520.0
dhidhdhoo,73.1,6.88,82.47,77.0,31.0,14.36,MV,1603171854.0
carnarvon,113.63,-24.87,75.2,60.0,64.0,14.99,AU,1603171475.0
grindavik,-22.43,63.84,32.0,72.0,20.0,6.93,IS,1603171652.0
nizwa,57.53,22.93,89.71,10.0,0.0,0.07,OM,1603171819.0
aswan,32.91,24.09,87.57,16.0,0.0,10.2,EG,1603171854.0
pangnirtung,-65.71,66.15,22.91,91.0,96.0,6.24,CA,1603171635.0
dire dawa,41.87,9.59,76.96,32.0,0.0,4.27,ET,1603171760.0
iwanai,140.51,42.97,57.69,50.0,34.0,7.05,JP,1603171854.0
kemijarvi,27.43,66.71,29.37,98.0,99.0,4.12,FI,1603171855.0
manggar,108.27,-2.88,85.17,67.0,61.0,7.43,ID,1603171855.0
flin flon,-101.86,54.77,23.02,91.0,31.0,3.49,CA,1603171685.0
puerto cabezas,-83.39,14.04,77.13,91.0,99.0,6.78,NI,1603171855.0
bandarbeyla,50.81,9.49,82.74,47.0,10.0,6.17,SO,1603171630.0
kupang,123.58,-10.17,93.2,46.0,40.0,8.05,ID,1603171856.0
belen,36.22,36.49,64.4,88.0,40.0,2.84,TR,1603171856.0
necochea,-58.74,-38.55,48.99,73.0,0.0,1.99,AR,1603171856.0
aleksandrov gay,48.57,50.15,50.09,63.0,71.0,15.73,RU,1603171856.0
marsh harbour,-77.06,26.54,81.16,76.0,100.0,21.03,BS,1603171544.0
nara,135.8,34.69,73.99,46.0,20.0,8.05,JP,1603171643.0
yellandu,80.33,17.6,83.28,81.0,90.0,4.25,IN,1603171856.0
numaligarh,93.75,26.63,80.83,77.0,75.0,5.64,IN,1603171857.0
new norfolk,147.06,-42.78,66.99,44.0,69.0,3.0,AU,1603171441.0
salinas,-121.66,36.68,55.4,100.0,90.0,4.7,US,1603171736.0
vicente guerrero,-98.17,19.12,55.2,80.0,54.0,4.68,MX,1603171857.0
san cristobal,-72.22,7.77,66.36,84.0,96.0,1.5,VE,1603171677.0
rocha,-54.33,-34.48,55.11,75.0,96.0,16.67,UY,1603171857.0
sayyan,44.32,15.17,57.47,34.0,0.0,6.11,YE,1603171857.0
tautira,-149.15,-17.73,80.6,65.0,20.0,11.41,PF,1603171857.0
funtua,7.31,11.52,69.04,77.0,3.0,7.54,NG,1603171858.0
cancun,-86.85,21.17,75.2,94.0,20.0,3.36,MX,1603171802.0
makakilo city,-158.09,21.35,80.6,83.0,75.0,5.82,US,1603171888.0
kaitangata,169.85,-46.28,54.0,65.0,91.0,7.63,NZ,1603171660.0
along,94.77,28.17,85.46,52.0,40.0,2.73,IN,1603171888.0
junin,-60.94,-34.58,51.01,88.0,100.0,5.99,AR,1603171810.0
leh,77.58,34.17,46.09,34.0,0.0,1.52,IN,1603171888.0
adelanto,-117.41,34.58,69.01,25.0,0.0,1.99,US,1603171888.0
umm lajj,37.27,25.02,91.85,24.0,0.0,6.76,SA,1603171889.0
kloulklubed,134.26,7.04,84.2,79.0,90.0,4.7,PW,1603171447.0
cabo rojo,-67.15,18.09,78.01,93.0,93.0,1.99,PR,1603171889.0
jinchang,102.17,38.5,56.48,32.0,0.0,21.18,CN,1603171889.0
north bend,-124.22,43.41,55.0,100.0,1.0,5.82,US,1603171574.0
san carlos,-68.58,9.66,73.65,92.0,91.0,2.33,VE,1603171889.0
turbat,63.04,26.0,93.6,8.0,0.0,17.96,PK,1603171889.0
khatanga,102.5,71.97,12.94,96.0,81.0,6.44,RU,1603171636.0
matadi,13.45,-5.82,77.16,79.0,100.0,2.62,CD,1603171890.0
sao filipe,-24.5,14.9,81.32,71.0,19.0,5.86,CV,1603171509.0
pafos,32.42,34.77,69.8,68.0,20.0,8.05,CY,1603171818.0
mitsamiouli,43.28,-11.38,77.0,69.0,20.0,4.7,KM,1603171528.0
kamaishi,141.88,39.27,64.4,45.0,20.0,4.7,JP,1603171539.0
dunmore town,-76.65,25.5,81.59,76.0,100.0,19.89,BS,1603171890.0
eldoret,35.27,0.52,57.2,87.0,75.0,5.82,KE,1603171890.0
